id,real_name,hit,rpm,slot,acc,rec,mag,ammo,mod,class,gx,gy,gw,gh,tex
wpn_ak105_shakal,"AK-105 ""Shakal""",0.5,850.0,2,0.5,0.762,45.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,18.0,5.0,2.0,ui\ui_icon_bas
wpn_ak105_bas,AK-105,0.49,650.0,2,0.5,0.762,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,2.0,4.0,2.0,ui\ui_icon_bas
wpn_ak105_sp,"AK-105 ""Specialist""",0.49,650.0,2,0.5,0.762,45.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,4.0,4.0,2.0,ui\ui_icon_bas
wpn_ak105_swamp,"AK-105 ""Swamp Thing""",0.5,850.0,2,0.5,0.762,45.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,14.0,5.0,2.0,ui\ui_icon_bas
wpn_ak12,AK-12,0.5,650.0,2,0.3,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,7.0,16.0,5.0,2.0,ui\ui_icon_bas
wpn_ak12_custom,"AK-12 ""Monolith""",0.5,650.0,2,0.3,0.545,45.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,17.0,0.0,5.0,2.0,ui\ui_icon_bas
wpn_ak12_custom_mono_kit,"AK-12 ""Monolith's Light""",0.51,700.0,2,0.265,0.545,60.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,17.0,2.0,5.0,2.0,wpn\wpn_abakan_icon
wpn_ak12_mono_com,"AK-12 ""Monolith""",0.5,650.0,2,0.3,0.545,45.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,17.0,0.0,5.0,2.0,ui\ui_icon_bas
wpn_ak12_m1,AK-12,0.5,650.0,2,0.3,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,8.0,5.0,2.0,ui\ui_icon_bas
wpn_ak5c_bas,AK 5C,0.5,750.0,2,0.28,0.556,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,12.0,20.0,6.0,2.0,ui\ui_icon_bas
wpn_ak5c_bas_5c_tik,"AK 5C ""ISG Special""",0.49,800.0,2,0.24,0.556,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,11.0,22.0,5.0,2.0,ui\ui_icon_bas
wpn_ak5c_isg,"AK 5C ""ISG""",0.5,800.0,2,0.28,0.556,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,16.0,22.0,5.0,2.0,ui\ui_icon_bas
wpn_ak74,AK-74N,0.5,650.0,2,0.35,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,0.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74_alt,AK-74N,0.58,660.0,2,0.3,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,6.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74_custom,AK-74N,0.58,640.0,2,0.28,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,2.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74_modern,AK-74N,0.58,650.0,2,0.34,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,4.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74_old,AK-74,0.58,600.0,2,0.36,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,25.0,6.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74_rpk,AK-74N EOTech,0.585,650.0,2,0.38,0.762,45.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,44.0,44.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak105,AK-105,0.49,650.0,2,0.5,0.762,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,2.0,4.0,2.0,ui\ui_icon_bas
wpn_ak74m,AK-74M,0.5,600.0,2,0.32,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,30.0,0.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74m_camo,AK-74M,0.58,620.0,2,0.27,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,30.0,4.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74m_custom,AK-74M,0.58,650.0,2,0.29,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,30.0,6.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74m_duty,AK-74M,0.58,600.0,2,0.3,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,30.0,2.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74m_alt,AK-74M,0.58,635.0,2,0.32,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,30.0,8.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74m_beard,"AK-74M ""Venom""",0.5,600.0,2,0.32,0.545,45.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,0.0,5.0,2.0,ui\ui_icon_bas
wpn_ak74m_n,AK-74M,0.5,600.0,2,0.32,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,17.0,10.0,5.0,2.0,ui\ui_icon_bas
wpn_ak74u_isg,Rifle Dynamics RD-74U ISG,0.5,650.0,2,0.3,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,8.0,4.0,2.0,ui\ui_icon_bas
wpn_ak74u_m1_isg,Rifle Dynamics Draco ISG,0.51,850.0,2,0.3,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,0.0,4.0,2.0,ui\ui_icon_bas
wpn_ak74u_n1,AKS-74U,0.485,700.0,2,0.56,0.646,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,10.0,4.0,2.0,ui\ui_icon_bas
wpn_ak74u_tac,"AKS-74U ""Tactician""",0.49,880.0,2,0.3,0.545,45.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,6.0,4.0,2.0,ui\ui_icon_bas
wpn_ak74_isg,Rifle Dynamics RD-74N ISG Tactical,0.53,650.0,2,0.3,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,2.0,5.0,2.0,ui\ui_icon_bas
wpn_ak12_bas,Rifle Dynamics RD-74N ISG Tactical,0.53,650.0,2,0.3,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,2.0,5.0,2.0,ui\ui_icon_bas
wpn_ak74_n,AK-74,0.5,650.0,2,0.35,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,12.0,16.0,5.0,2.0,ui\ui_icon_bas
wpn_ak74_pmc,"AK-74 ""PMC""",0.49,650.0,2,0.3,0.545,45.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,6.0,5.0,2.0,ui\ui_icon_bas
wpn_akm,AKM,0.58,600.0,2,0.45,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,35.0,0.0,5.0,2.0,ui\ui_icon_equipment
wpn_akms,AKMS,0.58,600.0,2,0.45,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,35.0,4.0,5.0,2.0,ui\ui_icon_equipment
wpn_akms_alt,AKMS,0.58,620.0,2,0.46,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,35.0,6.0,5.0,2.0,ui\ui_icon_equipment
wpn_akm_isg,Rifle Dynamics RD-47 ISG Tactical,0.58,700.0,2,0.32,0.545,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,4.0,5.0,2.0,ui\ui_icon_bas
wpn_akm_bas,AKM,0.58,600.0,2,0.45,1.845,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,18.0,26.0,5.0,2.0,ui\ui_icon_bas
wpn_akms_bas,AKMS,0.58,600.0,2,0.45,1.845,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,30.0,5.0,2.0,ui\ui_icon_bas
wpn_aks74,AKS-74,0.5,650.0,2,0.34,0.762,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,25.0,10.0,5.0,2.0,ui\ui_icon_equipment
wpn_aks74_new,AKS-74,0.58,655.0,2,0.33,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,25.0,12.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak74u,AKS-74UN,0.485,700.0,2,0.56,0.646,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,40.0,54.0,4.0,2.0,ui\standart
wpn_ak74u_camo,AKS-74UN,0.62,765.0,2,0.53,0.5,20.0,9x39_pab9,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,40.0,56.0,4.0,2.0,ui\standart
wpn_ak74u_custom,AKS-74UN,0.62,715.0,2,0.5,0.5,20.0,9x39_pab9,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,40.0,58.0,4.0,2.0,ui\standart
wpn_ak74u_old,AK-74U,0.39,690.0,2,0.58,0.5,20.0,9x39_pab9,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,40.0,64.0,4.0,2.0,ui\standart
wpn_ak74u_snag,AK-74UNB,0.4,750.0,2,0.53,1.015,45.0,9x39_pab9,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,25.0,22.0,5.0,2.0,ui\standart
wpn_akm_alfa,AK Alfa,0.57,600.0,2,0.32,0.545,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,12.0,10.0,5.0,2.0,ui\ui_icon_bas
wpn_aps,APS Stechkin,0.45,650.0,1,0.65,2.0,20.0,9x18_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,SMG/PDW,77.0,78.0,2.0,1.0,ui\ui_icon_ppp
wpn_aps_bas,APS Stechkin,0.45,650.0,1,0.65,2.0,20.0,9x18_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,SMG/PDW,66.0,1.0,2.0,1.0,ui\ui_icon_bas
wpn_aps_bas_apsabigo,APS Stechkin,0.45,650.0,1,0.65,2.0,20.0,9x18_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,SMG/PDW,62.0,10.0,2.0,1.0,ui\ui_icon_ppp
wpn_ash12,ShAK-12,0.92,450.0,2,0.2,2.5,20.0,12.7x55_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Battle Rifle,0.0,0.0,4.0,2.0,ui\ui_icon_ash12
wpn_vssk,VSSK Vykhlop,1.2,30.0,2,0.098,3.08,5.0,12.7x55_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Sniper/DMR,0.0,0.0,6.0,2.0,ui\vssk_icon_sheet
wpn_aug,Steyr AUG A1,0.51,680.0,2,0.3,1.338,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,0.0,0.0,5.0,2.0,ui\ui_icon_aug_a1
wpn_aug_custom,Steyr AUG A2,0.51,700.0,2,0.25,1.338,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,0.0,0.0,5.0,2.0,ui\ui_icon_aug_a2
wpn_aug_merc,Thales F90,0.51,720.0,2,0.265,0.6,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,0.0,0.0,5.0,2.0,ui\ui_icon_aug_thales
wpn_aug_modern,Steyr AUG A3,0.51,700.0,2,0.29,1.338,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,0.0,0.0,5.0,2.0,ui\ui_icon_aug_a3
wpn_aug_a3,Steyr AUG A3,0.51,680.0,2,0.22,0.6,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,41.0,74.0,5.0,2.0,ui\ui_icon_equipment
wpn_aug_freedom,Steyr AUG A3 9mm XS,0.47,750.0,2,0.52,0.5,32.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,0.0,0.0,4.0,2.0,ui\ui_icon_aug_9mm
wpn_aug_a1_bas,Steyr AUG A1,0.5,680.0,2,0.22,0.6,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,20.0,5.0,2.0,ui\ui_icon_bas
wpn_aug_a3_bas,Steyr AUG A3,0.51,680.0,2,0.22,0.6,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,13.0,18.0,5.0,2.0,ui\ui_icon_bas
wpn_aug_a1_custom_bas,Steyr AUG A1,0.497,880.0,2,0.22,0.5,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,20.0,4.0,2.0,ui\ui_icon_bas
wpn_aug_a3_custom_bas,Steyr AUG A3 Commando,0.51,780.0,2,0.22,0.5,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,18.0,18.0,4.0,2.0,ui\ui_icon_bas
wpn_m82,Barrett M82,3.0,100.0,2,0.1,4.5,10.0,12.7x55_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Sniper/DMR,47.0,72.0,6.0,2.0,ui\ui_icon_equipment
wpn_m98b,Barrett M98B,1.35,20.0,2,0.043,3.14,10.0,magnum_300,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Sniper/DMR,44.0,38.0,6.0,2.0,ui\ui_icon_equipment
wpn_l85_m1,L85A2,0.51,680.0,2,0.215,1.338,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,28.0,5.0,2.0,ui\ui_icon_bas
wpn_l85_m2,L85A2,0.51,680.0,2,0.215,1.338,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,13.0,28.0,5.0,2.0,ui\ui_icon_bas
wpn_l85_m3,"L85A2 ""Tactical""",0.51,680.0,2,0.215,1.338,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,18.0,28.0,5.0,2.0,ui\ui_icon_bas
wpn_scar_siber,FN SCAR-H,0.75,650.0,2,0.18,1.5,20.0,7.62x51_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Battle Rifle,8.0,24.0,5.0,2.0,ui\ui_icon_bas
wpn_scar_siber_black,"FN SCAR-H ""Black""",0.75,650.0,2,0.18,1.5,20.0,7.62x51_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Battle Rifle,3.0,26.0,5.0,2.0,ui\ui_icon_bas
wpn_scar_siber_m1,"FN SCAR-H ""Tactical""",0.75,650.0,2,0.18,1.5,20.0,7.62x51_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Battle Rifle,13.0,24.0,5.0,2.0,ui\ui_icon_bas
wpn_scar_siber_m1_black,"FN SCAR-H ""Tactical Black""",0.75,650.0,2,0.18,1.5,20.0,7.62x51_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Battle Rifle,8.0,26.0,5.0,2.0,ui\ui_icon_bas
wpn_scar_siber_m2,"FN SCAR-H ""Expert Operator""",0.75,650.0,2,0.18,1.5,20.0,7.62x51_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Battle Rifle,18.0,24.0,5.0,2.0,ui\ui_icon_bas
wpn_scar_siber_m2_custom,"FN SCAR-H ""Specialist Operator""",0.75,650.0,2,0.18,1.5,20.0,7.62x51_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Battle Rifle,13.0,26.0,5.0,2.0,ui\ui_icon_bas
wpn_beretta,Beretta 92F,0.46,325.0,1,0.48,2.0,15.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Pistol,37.0,78.0,2.0,1.0,ui\ui_icon_ppp
